id,level,board,duration
1,Ten Plus Two (+2) Science,National Examinations Board,2 years
2,Ten Plus Two (+2) Management,National Examinations Board,2 years
3,GCE A Level Non-Science (A Level Non-Science),Cambridge GCE A Levels,2 years
4,GCE A Level Science (A Level Science),Cambridge GCE A Levels,2 years
5,Ten Plus Two (+2) Humanities,National Examinations Board,2 years
6,Bachelor in Business Studies (BBS),Tribhuvan University,4 years
7,Ten Plus Two (+2) Law,National Examinations Board,2 years
8,Master of Business Studies (MBS),Tribhuvan University,2 years
9,Bachelor of Computer Application (BCA),Tribhuvan University,4 years
10,Bachelor of Arts in Social Work (BASW),Tribhuvan University,4 years
11,Bachelor of Business Management (BBM),Tribhuvan University,4 years
12,Bachelor of Business Administration (BBA),Tribhuvan University,4 years
13,Bachelor of Arts (BA),Tribhuvan University,4 years
14,Bachelor of Business Administration (BBA),Pokhara University,4 years
15,BSc Computer Science and Information Technology (BSc CSIT),Tribhuvan University,4 years
16,Bachelor of Information Management (BIM),Tribhuvan University,4 years
17,BSc Microbiology,Tribhuvan University,4 years
18,Bachelor of Civil Engineering (BE Civil),Tribhuvan University,4 years
19,Bachelor of Computer Engineering (BE),Tribhuvan University,4 years
20,MA in English (MA English),Tribhuvan University,2 years
21,BSc Physics,Tribhuvan University,4 years
22,MSc Microbiology,Tribhuvan University,2 years
23,Bachelor of Education (BEd),Tribhuvan University,4 years
24,"Bachelor of Electronics, Communication and Information Engineering (BE)",Tribhuvan University,4 years
25,Bachelor of Business Administration (BBA),Purbanchal University,4 years
26,Bachelor of Electronics and Communication Engineering (BE),Pokhara University,4 years
27,Master of Business Administration (MBA),Purbanchal University,2 years
28,MSc Environmental Science,Tribhuvan University,2 years
29,Bachelor of Architecture (B.Arch),Pokhara University,5 years
30,Bachelor of Engineering in Information Technology (BE IT),Pokhara University,4 years
31,Diploma in Civil Engineering,CTEVT,3 years
32,Diploma in Architecture Engineering,CTEVT,3 years
33,Diploma in Pharmacy,CTEVT,3 years
34,MA in Economics (MA Economics),Tribhuvan University,2 years
35,Master of Business Administration (MBA),Pokhara University,2 years
36,Bachelor of Computer Application (BCA),Pokhara University,4 years
37,Bachelor of Pharmacy (B Pharm),Pokhara University,4 years
38,Bachelor of Public Health (BPH),Purbanchal University,4 years
39,Ten Plus Two (+2) Education,National Examinations Board,2 years
40,Bachelor of Information Technology (BIT),"Nilai University, Malaysia",4 years
41,Bachelor of Electrical and Electronics Engineering,Pokhara University,4 years
42,MSc in Geographical Information Science and Systems,Salzburg University of Applied Sciences,2 years
43,Bachelor in Business Administration (BBA),"Westcliff University, CA, USA",4 years
44,BA in International Hospitality and Tourism Management (BHM),Queen Margaret University (UK),4 years
45,Bachelor in Hospitality Management (BHM),Kathmandu University,4 years
46,BSc (Hons) Computing,"University of Northampton, UK",3 years
47,MSc in Information System Engineering,Purbanchal University,2 years
48,MSc in Engineering Management,Purbanchal University,2 years
49,BSc (Hons) Environmental Science (BES),"University of Northampton, UK",3 years
50,BBA (Hons) Business and Management,"University of the West of England, UK",4 years
51,BSc Forestry,Tribhuvan University,4 years
52,Bachelor of Architecture (B.Arch),Purbanchal University,5 years
53,Master of Business Administration (MBA),"Limkokwing University, Malaysia",2 years
54,Master of Computer Engineering,Pokhara University,2 years
55,Master in Business Administration (MBA),"Westcliff University, CA, USA",2 years
56,Master in Crisis Management Studies (MCMS),Tribhuvan University,2 years
57,Diploma in Computer Engineering,CTEVT,3 years
58,Master of Science in Construction Management,Pokhara University,2 years
59,Diploma in Electrical Engineering,CTEVT,3 years
60,Diploma in Electrical and Electronics Engineering,CTEVT,3 years
61,MSc in Natural Resources Management and Rural Development,Pokhara University,2 years
62,MSc in Computer Science,Pokhara University,2 years
63,Bachelor in Development Finance,Kathmandu University,4 years
64,MBA (Executive),"Leeds Beckett University, UK",2 years
65,Bachelor of Social Sciences,Kathmandu University,4 years
66,Bachelor in Development Studies,Kathmandu University,4 years
67,MBA (Global Business),Pokhara University,2 years
68,FHS Diploma in Hotel Management (BHM),Salzburg University of Applied Sciences,3 years
69,Bachelor of Business in Hospitality Management (Hons) (BHM),HELP University,4 years
70,MSc International Business Management (MIBM),"University of the West of England, UK",2 years
71,BSc (Hons) Computing,"Leeds Beckett University, UK",4 years
72,Diploma in Forestry,CTEVT,3 years
73,BBA in Travel and Tourism (BBA-TT),Pokhara University,4 years
74,Bachelor of Hotel Management (BHM),Tribhuvan University,4 years
75,MA in English,Pokhara University,2 years
76,Bachelor in Civil Engineering (For Diploma Holders),Pokhara University,4 years 6 months
77,MPhil in English,Pokhara University,1 year 6 months
78,Certificate in Medical Laboratory Technology (CMLT),CTEVT,3 years
79,Bachelor of Education in Information Communication Technology (BICTE),Tribhuvan University,4 years
80,Bachelor of Business Administration (BBA),Mid-West University,4 years
81,MSc in Transportation Engineering and Management,Pokhara University,2 years
82,MSc in Interdisciplinary Water Resources Management,Pokhara University,2 years
83,Master of Computer Information Systems (MCIS),Pokhara University,2 years
84,MSc in Natural Resource Management and Rural Development,Tribhuvan University,2 years
85,Bachelor of Business Administration (BBA),Kathmandu University,4 years
86,Bachelor in Development Studies (BDevS),Pokhara University,4 years
